,0
0,11.1091774875
1,11.185334216666668
2,11.280690270833334
3,11.36829945
4,11.456101883333336
5,11.532389970833334
6,11.614718591666666
7,11.702776000000002
8,11.7940942
9,11.886071429166668
10,11.9622117125
11,12.06069315
12,12.157891100000002
13,12.258522679166667
14,12.350021045833333
15,12.441541333333335
16,12.512480425000001
17,12.601082779166667
18,12.674169075000002
19,12.76046724166667
20,12.837227245833333
21,12.92028931666667
22,13.013881991666668
23,13.097523095833335
24,13.188133379166667
25,13.263340458333332
26,13.348309958333331
27,13.450139129166667
28,13.543407108333332
29,13.618621541666664
30,13.714265308333331
31,13.809405183333332
32,13.893860600000002
33,13.995497775
34,14.075062295833334
35,14.1765300375
36,14.277186562499999
37,14.354353158333334
38,14.448827645833331
39,14.566959412499997
40,14.646567433333335
41,14.719297050000002
42,14.8244955
43,14.915326095833334
44,14.991177620833332
45,15.07538705
46,15.146539383333334
47,15.239397516666667
48,15.325903129166669
49,15.400342316666668
50,15.503147383333332
51,15.580781974999999
52,15.660872404166668
53,15.737941424999999
54,15.836918499999998
55,15.925458495833333
56,15.9993147
57,16.085467025
58,16.175127820833335
59,16.29918872083333
60,16.371710999999998
61,16.4506005625
62,16.558387999999997
63,16.64790750833333
64,16.736023904166665
65,16.8544173
66,16.93254353333333
67,17.023136512499995
68,17.113820070833327
69,17.205383945833333
70,17.31396253333333
71,17.398552491666663
72,17.47876745416666
73,17.577731733333337
74,17.65329050833333
75,17.7297389625
76,17.8124827625
77,17.927101595833335
78,18.010685458333334
79,18.0963242875
80,18.1983486
81,18.291187391666668
82,18.394556191666663
83,18.48205395
84,18.559680775000004
85,18.645604470833337
86,18.723550262500005
87,18.799107600000003
88,18.8914385625
89,18.9832617375
90,19.072889433333337
91,19.162031108333338
92,19.24143214583334
93,19.33979046250001
94,19.413969866666672
95,19.49202261666667
96,19.584191662500007
97,19.659690458333337
98,19.748805050000005
99,19.87272394166667
100,19.98076819583334
101,20.075016916666666
102,20.149908837500004
103,20.258116454166675
104,20.343343545833342
105,20.42364118333334
106,20.515158175000007
107,20.591383466666674
108,20.68181892500001
109,20.775938300000007
110,20.87853147500001
111,20.997401012500006
112,21.08380271250001
113,21.15911052916668
114,21.262844575000013
115,21.34460266250001
116,21.452583645833343
117,21.554257929166678
118,21.65976793333334
119,21.739067937500007
120,21.81679397916668
121,21.90987844583334
122,22.02420430833334
123,22.11830572500001
124,22.19012086666668
125,22.27852095000001
126,22.376522133333346
127,22.46207942083334
128,22.533440591666675
129,22.629193766666678
130,22.734660829166675
131,22.83598649166668
132,22.930892220833343
133,23.040598020833343
134,23.135066579166676
135,23.22019521250001
136,23.321542141666676
137,23.393322779166677
138,23.470792329166674
139,23.554794654166678
140,23.655456533333343
141,23.761172120833344
142,23.85643818750001
143,23.932924033333347
144,24.020019283333344
145,24.122267037500013
146,24.210499566666673
147,24.32575660833334
148,24.406029150000006
149,24.49481932500001
150,24.584451145833338
151,24.66955591250001
152,24.77445875833334
153,24.878055741666678
154,24.967812862500004
155,25.06162430000001
156,25.148694687500004
157,25.227190054166673
158,25.30306399583334
159,25.38079916250001
160,25.474339404166678
161,25.568340533333345
162,25.647333566666674
163,25.741957833333345
164,25.849058408333345
165,25.945961683333344
166,26.022370125000013
167,26.136010925000008
168,26.221688608333345
169,26.31465633750001
170,26.41389745000001
