,0
0,-0.13040460876588328
1,-0.1260212328149752
2,-0.12216160587389698
3,-0.1235519099534926
4,-0.12114396922996154
5,-0.1175484765498254
6,-0.11371078862127608
7,-0.11542093424472188
8,-0.1182703412205685
9,-0.11297453067448371
10,-0.11073657863143574
11,-0.11284564618482426
12,-0.11412946016826093
13,-0.11347998061821443
14,-0.11625798030581005
15,-0.11459400713036842
16,-0.1123568815594708
17,-0.11349753957840995
18,-0.11374049591517477
19,-0.11388175680763728
20,-0.11318894028889508
21,-0.11102079747348581
22,-0.11150670861934997
23,-0.11147636903265097
24,-0.10977279082451677
25,-0.10991173106450307
26,-0.11020046261920531
27,-0.10758994665827933
28,-0.10791854891512402
29,-0.10515814136536634
30,-0.10468727474500476
31,-0.10350339942919451
32,-0.10611447310441031
33,-0.10805423752143531
34,-0.1030663642875119
35,-0.1023550388240061
36,-0.10417023765522634
37,-0.10480631925986468
38,-0.10581499817365445
39,-0.1051901895301474
40,-0.1056659024873402
41,-0.10454202566433524
42,-0.10229604712982687
43,-0.10200820745594655
44,-0.10155272604868806
45,-0.09842179415545227
46,-0.10336942844757072
47,-0.10517042043467606
48,-0.10988209545551549
49,-0.10792829268724795
50,-0.11182329172306249
51,-0.11352701971510464
52,-0.11050748424185335
53,-0.11111104638848446
54,-0.114057929530369
55,-0.1139047144562998
56,-0.11167493281961985
57,-0.10770405111916155
58,-0.10863422224353643
59,-0.10911660660611171
60,-0.10982534632364911
61,-0.11114793770178952
62,-0.10626011111114282
63,-0.10409513574851892
64,-0.10495328895270162
65,-0.10638734891207294
66,-0.10967363729528241
67,-0.11176027730459737
68,-0.1094045751837763
69,-0.11109105655387115
70,-0.11023285733615204
71,-0.11012224556886294
72,-0.10644742783701056
73,-0.10370379437766983
74,-0.10279443529574858
75,-0.10907366970397694
76,-0.10600292842451156
77,-0.10375890675054192
78,-0.10564892041269698
79,-0.10310050547796468
80,-0.10467854307953206
81,-0.10245869336645282
82,-0.10283087229146937
83,-0.10484450059565967
84,-0.10334363370643833
85,-0.10286784580137778
86,-0.09686870889247141
87,-0.09770394516175493
88,-0.09738776843897017
89,-0.09818358805189782
90,-0.09817254746861763
91,-0.09833646849390082
92,-0.09472843894960305
93,-0.09074179798193477
94,-0.08822040941107039
95,-0.0853452627822589
96,-0.08808647780128434
97,-0.08770498021758585
98,-0.08902075239145177
99,-0.08972143119369427
100,-0.08638514111822228
101,-0.0869199095240418
102,-0.08865920252182488
103,-0.08555531928432647
104,-0.08367459778684519
105,-0.08182311408681112
106,-0.08342902816226214
107,-0.08449504113406793
108,-0.08241027469503678
109,-0.08520901061717621
110,-0.0846621310910822
111,-0.08091782756342034
112,-0.08542686128273719
113,-0.08801006725746645
114,-0.08430717642639042
115,-0.08150118013477867
116,-0.08142047966236907
117,-0.07962535567997862
118,-0.0810846485678326
119,-0.08050410989820168
120,-0.07885442060958403
121,-0.080298827380708
122,-0.07947793345832006
123,-0.0793098402059173
124,-0.079199531181985
125,-0.07575801138013694
126,-0.07416799537652705
127,-0.07228862905582327
128,-0.07447291253336066
129,-0.07622016249432596
130,-0.07574930911924646
131,-0.0720740098381369
132,-0.0728709596695057
133,-0.07207855301613016
134,-0.07147892062676107
135,-0.07135800612841225
136,-0.07055994924104073
137,-0.06857565240317531
138,-0.0675844243448359
139,-0.06530715987282387
140,-0.0670511986759322
141,-0.06802237264441402
142,-0.06900201049196322
143,-0.06843701842340302
144,-0.06786451600849328
145,-0.0681308930699677
146,-0.07158771365437769
147,-0.07224360947163896
148,-0.07574025976490176
149,-0.0749341884899029
150,-0.07452230423648962
151,-0.07354276642165077
152,-0.07030550200025837
153,-0.06720256894182376
154,-0.06652352471581516
155,-0.06521612931846357
156,-0.06580761310735181
157,-0.06779274157805655
158,-0.06479326330597088
159,-0.06545851427700053
160,-0.061715247835215134
161,-0.05900764744543306
162,-0.05613735116729953
163,-0.056133089344024854
164,-0.05772892966912373
165,-0.054982797802385644
166,-0.054447080465576315
167,-0.052121767470944026
168,-0.05096651649683348
169,-0.054413114327025426
170,-0.05733671690796355
171,-0.05823615959056218
172,-0.05929360409098431
173,-0.05970239447312087
174,-0.05840818914504968
175,-0.05838280600870693
176,-0.05877943718511982
177,-0.05734077133379145
178,-0.056455772441798925
179,-0.05537296464052668
180,-0.05671343879945613
181,-0.05343515589659962
182,-0.05127228296302884
183,-0.05053197406603784
184,-0.05252335412288824
185,-0.055944518268456166
186,-0.059289285857593035
187,-0.059929980726141585
188,-0.05853296523839861
189,-0.05782547182298853
190,-0.054313998139025085
191,-0.051241854273568886
192,-0.05161119577013899
193,-0.051646103680299815
194,-0.05063779225782746
195,-0.05083136689253489
196,-0.05226685419193215
197,-0.05424579395561302
198,-0.05524382862047396
199,-0.05421644472982697
200,-0.05092185190849079
201,-0.049001757370174176
202,-0.0524961819160346
203,-0.05520340256921101
204,-0.056118585568131575
205,-0.05607459771115216
206,-0.052740265960888065
207,-0.052275220901965146
208,-0.05227913409793923
209,-0.05112305585464781
210,-0.05327544952717993
211,-0.05195676283779347
212,-0.05228806662381744
213,-0.052185028696638026
214,-0.05379853550268637
215,-0.0520867114031824
216,-0.05129121377528819
217,-0.053384815365010274
218,-0.053835985439262234
219,-0.052302511509423534
220,-0.05001103327716028
221,-0.0511774314434046
222,-0.05139051790088998
223,-0.052479304213163304
224,-0.05040246979010661
225,-0.050700681550761614
226,-0.05044513405937377
227,-0.051024958108658626
228,-0.04980825738533129
229,-0.04876715082773296
230,-0.04984270009239268
231,-0.046996035139959806
232,-0.04885484835469992
233,-0.04889082176276849
234,-0.05208093041290016
235,-0.05117454870281472
236,-0.0552383472469077
237,-0.05625160442943226
238,-0.05410432075413035
239,-0.054052943238102405
240,-0.05409066997651137
241,-0.05419819122754667
242,-0.05428907732268658
243,-0.055352875807586764
244,-0.05309512421077657
245,-0.05305702063781533
246,-0.05422661748580145
247,-0.05215192713038275
248,-0.05242473521897224
249,-0.0506425612565193
250,-0.04972683481529981
251,-0.054133125283350424
252,-0.05614559837676038
253,-0.05906636616015591
254,-0.05898770043907218
255,-0.06179984484671287
256,-0.061881181262534855
257,-0.061846533475053936
258,-0.05847918007640278
259,-0.058156058060071514
260,-0.057733204616803147
261,-0.05691869558826116
262,-0.057350779071510496
263,-0.05646596363288133
264,-0.054203116920756966
265,-0.054799929337284004
266,-0.05697724300787754
267,-0.05483408226930096
268,-0.05228752778216263
269,-0.05043019619265989
270,-0.05046559951301586
271,-0.0514415468401457
272,-0.053235771063849656
273,-0.05480819454900569
274,-0.05544924629087837
275,-0.05709038738163028
276,-0.05738474470211495
277,-0.060269311247756405
278,-0.0590627553709018
279,-0.057281794493868034
280,-0.05813147473519098
281,-0.05910050834935254
282,-0.05572224693524598
283,-0.05376954750557925
284,-0.05810581811714673
285,-0.060017379790256606
286,-0.06071798437146516
287,-0.06182160893985278
288,-0.05809904598073092
289,-0.05676632210809934
290,-0.05675864895380295
291,-0.055179230875735286
292,-0.0543780230363506
293,-0.05359477832407324
294,-0.05515311220041581
295,-0.055971865680099965
296,-0.0570863444288824
297,-0.05796704741599923
298,-0.057155225744541384
299,-0.058418324034162916
300,-0.05779062465220253
301,-0.0581961493502494
302,-0.060312764382682425
303,-0.05580847255566237
304,-0.05123436144323775
305,-0.05239677875768717
306,-0.05204775524713541
307,-0.0517378508942544
308,-0.05284949237008576
309,-0.05417245463661326
310,-0.05390772055378651
311,-0.05432099315448933
312,-0.055198886704648065
313,-0.055853483615632485
314,-0.05600580296965281
315,-0.05616407654944426
316,-0.05654217871823798
317,-0.05589422321514152
318,-0.06016500508669742
319,-0.060499333346011167
320,-0.057036541695517515
321,-0.057058348897026746
322,-0.056595614630340726
323,-0.05828367132318781
324,-0.05822888237602279
325,-0.05714001728701625
326,-0.05832858038810625
327,-0.06167008253302118
328,-0.06286544943000474
329,-0.06711090034088493
330,-0.06283295209408991
331,-0.06292538588647395
332,-0.06009602627276813
333,-0.0593679539405393
334,-0.05622060263414265
335,-0.05509455595560973
