,0
0,-0.14703385881587763
1,-0.14714147938156663
2,-0.14446066975430202
3,-0.14235473867841159
4,-0.143037035783765
5,-0.14093481989648876
6,-0.1397700109461081
7,-0.13919891260845071
8,-0.1362598867152547
9,-0.13606003785340876
10,-0.13524326275591433
11,-0.1348679316349694
12,-0.13499339725625623
13,-0.13207227297780585
14,-0.13152165066809626
15,-0.1286315227959017
16,-0.12857688608393908
17,-0.1241594664336793
18,-0.12310156183475475
19,-0.12241308820767778
20,-0.12447550629291564
21,-0.12544655910575428
22,-0.12628257796697218
23,-0.1287604028683965
24,-0.1293045736082961
25,-0.13111990838129567
26,-0.1304261328346543
27,-0.1318918277780621
28,-0.1308496010833777
29,-0.13052564041973894
30,-0.13075012120551344
31,-0.13239967777641962
32,-0.1316143692648075
33,-0.13202559658046864
34,-0.13069596671562844
35,-0.1305996391781237
36,-0.1304623738578373
37,-0.13065135731730287
38,-0.12770939219652805
39,-0.12484870920368628
40,-0.1267308283690121
41,-0.126191440494612
42,-0.12372853109886457
43,-0.12382391404540469
44,-0.12291195766357343
45,-0.12381511143431365
46,-0.12371400483965786
47,-0.1252619678200649
48,-0.12427110019651985
49,-0.12360060916866647
50,-0.12296645393583373
51,-0.1215339471079377
52,-0.11908086813901027
53,-0.12100622414400809
54,-0.11931778058791791
55,-0.1175369517361838
56,-0.11678065289240831
57,-0.1161666081255358
58,-0.11568834313799568
59,-0.1144653545707225
60,-0.11501905571424109
61,-0.1140280867578166
62,-0.11473920619468181
63,-0.11426709006462134
64,-0.11288951757079278
65,-0.1161291924461126
66,-0.11791541738694825
67,-0.1164258979511965
68,-0.1165932122379518
69,-0.11533526463318847
70,-0.11482327905463705
71,-0.11443072205640535
72,-0.11532139508691792
73,-0.11437518570328183
74,-0.1141718517043072
75,-0.11494978751186906
76,-0.11076503016118236
77,-0.1117579955988667
78,-0.11377813103224013
79,-0.11239661724332603
80,-0.1124743489980583
81,-0.11233879717371732
82,-0.11130111260212154
83,-0.11289472871794305
84,-0.1105174782753455
85,-0.11202404914411068
86,-0.11453750336397431
87,-0.11484625626241804
88,-0.11233056786590069
89,-0.11389441744308285
90,-0.11270188414788393
91,-0.1128654642913709
92,-0.1137178196270876
93,-0.1105388833215432
94,-0.10746801748326384
95,-0.10683404347126824
96,-0.10673424360323648
97,-0.10583954141211752
98,-0.10504676277626383
99,-0.10391592587216214
100,-0.10529642705243572
101,-0.10275570751304129
102,-0.10103029101820349
103,-0.09977982438562329
104,-0.10072570351306175
105,-0.09892209214498877
106,-0.09958739033532381
107,-0.10092131966186091
108,-0.09862951508601735
109,-0.0997058726482616
110,-0.09823059312829528
111,-0.09775018266740469
112,-0.09914061690934942
113,-0.09730620191846405
114,-0.09637576274218222
115,-0.09577935612545138
116,-0.09650088393914899
117,-0.09711172392696343
118,-0.09951825877357069
119,-0.09916560225843389
120,-0.09924207704832486
121,-0.0976961264448246
122,-0.09700478497863384
123,-0.09671617483144297
124,-0.09807016926392187
125,-0.09576798447336844
